stat requirements,,,previous sockets,,,rolled sockets,,
STR,DEX,INT,Red,Green,Blue,Red,Green,Blue
66,66,,1,3,,,,
,138,,,4,,2,2,
,138,,2,2,,,4,
,138,,,4,,1,3,
,138,,1,3,,1,2,1
,88,122,,2,4,3,1,2
,88,122,3,1,2,,3,3
,88,122,,3,3,,1,5
,88,122,,1,5,1,2,2
,88,122,1,2,2,,4,2
,88,122,,4,2,,1,5
,88,122,,1,5,,2,4
,88,122,,2,4,,1,5
,88,122,,1,5,,4,2
,88,122,,4,2,,2,4
,88,122,,2,4,,2,4
,88,122,,2,4,,4,2
,88,122,,4,2,,2,4
,88,122,,2,4,1,2,3
,88,122,1,2,3,1,3,2
,88,122,1,3,2,,4,2
,88,122,,4,2,1,3,2
,88,122,1,3,2,1,4,1
,88,122,1,4,1,,3,3
,88,122,,3,3,,3,3
,88,122,,3,3,,3,3
,88,122,,3,3,,4,2
,88,122,,4,2,,4,2
,88,122,,4,2,,1,5
,88,122,,1,5,,4,2
,88,122,,4,2,,3,3
,88,122,,3,3,,3,3
,88,122,,3,3,1,3,2
,88,122,1,3,2,,2,4
,88,122,,2,4,,2,4
,88,122,,2,4,,3,3
,88,122,,3,3,,4,2
,88,122,,4,2,,3,3
,88,122,,3,3,,3,3
,88,122,,3,3,1,2,3
,88,122,1,2,3,1,3,2
,88,122,1,3,2,,2,4
,88,122,,2,4,,4,2
,88,122,,4,2,,3,3
,88,122,,3,3,,4,2
,88,122,,4,2,3,1,2
,,154,,,,,,4
,,154,,,4,1,,3
,,154,1,,3,,,4
,,154,,,4,,1,3
,,154,,1,3,,,4
,,154,,,4,,1,3
,,154,,1,3,,1,3
,,154,,1,3,,1,3
,,154,,1,3,,,4
,,154,,,4,1,,3
,,154,1,,3,1,,3
,,154,1,,3,,1,3
,,154,,1,3,1,,3
,,154,1,,3,,,4
,,154,,,4,2,,2
,,154,2,,2,1,1,2
,,154,1,1,2,,,4
,,154,,,4,1,1,2
,,154,1,1,2,,,4
,,154,,,4,2,1,1
,,154,2,1,1,1,,3
,,154,1,,3,,,4
,,154,,,4,1,,3
,,154,1,,3,,1,3
,,154,,1,3,,,4
,,154,,,4,1,,3
,,154,1,,3,,,4
,,154,,,4,1,,3
,,154,1,,3,,,4
,,154,,,4,1,,3
,,154,1,,3,,,4
,,154,,,4,,1,3
,,154,,1,3,1,,3
,,154,1,,3,,1,3
,,154,,1,3,1,,3
,,154,1,,3,,,4
,,154,,,4,,1,3
,,154,,1,3,,,4
,,154,,,4,1,,3
,,154,1,,3,1,,3
,,154,1,,3,,1,3
,,154,,1,3,,,4
,,154,,,4,,1,3
,,154,,1,3,,,4
,,154,,,4,,1,3
,,154,,1,3,,,4
,,154,,,4,,1,3
,,154,,1,3,,,4
,,154,,,4,,1,3
,,154,,1,3,,,4
,,154,,,4,,1,3
,,154,,1,3,1,,3
,,154,1,,3,1,1,2
,,154,1,1,2,,,4
,,154,,,4,1,1,2
,,154,1,1,2,1,1,2
,,154,1,1,1,,1,3
,,154,,1,3,,,4
,,154,,,4,2,,2
,,154,,2,2,,,4
,,154,,,4,1,,3
,,154,1,,3,,,4
,,154,,,4,1,,3
,,154,1,,3,,1,3
,,154,,1,3,,1,3
,,154,,1,3,,,4
,,154,,,4,,1,3
,,154,,1,3,1,,3
,,154,1,,3,,,4
,,154,,,4,1,1,2
,,154,1,1,2,1,,3
,,154,1,,3,,,4
,,154,,,4,,1,3
,,154,,1,3,1,,3
,,154,1,,3,,1,3
,,154,,1,3,3,,1
,96,96,,,,,,
,114,,,4,,1,3,
,91,,,5,,,3,2
,91,,,3,2,,4,1
,91,,,4,1,,5,
,91,,,5,,,3,2
,91,,,3,2,1,4,
,91,,1,4,,,5,
,91,,,5,,1,4,
,91,,1,4,,,5,
,91,,,5,,,4,1
,91,,,4,1,,5,
,91,,,5,,1,3,1
,170,,,3,2,1,3,1
,91,,1,3,1,1,4,
,91,,1,4,,,5,
,91,,,5,,1,4,
,91,,1,4,,,3,2
,91,,,3,2,,4,1
,91,,,4,1,,5,
,91,,,5,,,2,3
,91,,,2,3,,5,
,91,,,5,,,4,1
,91,,,4,1,,3,2
,91,,,3,2,1,4,
,91,,1,4,,,3,2
,91,,,3,2,1,4,
,91,,1,4,,,4,1
,91,,,4,1,1,4,
,91,,1,4,,1,4,
,91,,1,4,,1,4,
,91,,1,4,,1,4,
,91,,1,4,,,5,
,91,,,5,,2,2,1
,78,,,4,,1,2,1
,78,,1,2,1,,4,
,78,,,4,,,2,2
,78,,,2,2,1,3,
,78,,1,3,,,3,1
,78,,,3,1,1,2,1
,78,,1,2,1,1,2,1
,78,,1,2,1,,3,1
,78,,,3,1,1,3,
,78,,1,3,,1,2,1
,78,,1,2,1,,3,1
,78,,,3,1,,4,
,78,,,4,,,3,1
,78,,,3,1,,4,
,78,,,4,,1,2,1
,78,,1,2,1,,4,
,78,,,4,,1,3,
,78,,1,3,,,4,
,78,,,4,,2,1,1
,78,,2,1,1,,4,
,78,,,4,,1,3,
,78,,1,3,,,3,1
,78,,,3,1,,3,1
,78,,,3,1,1,3,
,78,,1,3,,,4,
,78,,,4,,,3,1
,78,,,3,1,,4,
,78,,,4,,1,2,1
,78,,1,2,1,1,3,
,78,,1,3,,1,3,
,78,,1,3,,1,2,1
,78,,1,2,1,3,1,
,138,,,4,,0,3,1
,138,,0,3,1,,3,1
,138,,,3,1,1,3,
,138,,1,3,,,4,
,138,,,4,,,3,1
,138,,,3,1,,4,
,138,,,4,,1,3,
,138,,1,3,,,4,
,138,,,4,,1,3,
,138,,1,3,,,4,
,138,,,4,,,3,1
,138,,,3,1,,4,
,138,,,4,,,3,1
,138,,,3,1,,2,2
,138,,,2,2,,3,1
,138,,,3,1,,3,1
,138,,,3,1,1,3,
,138,,1,3,,,4,
,138,,,4,,1,3,
,138,,1,3,,,3,1
,138,,,3,1,,4,
,138,,,4,,1,2,1
,65,65,1,1,3,1,1,3
,65,65,1,1,3,,3,2
,65,65,,3,2,,3,2
,65,65,,3,2,1,1,3
,65,65,1,1,3,,2,3
,65,65,,2,3,1,2,2
,65,65,1,2,2,,2,3
,65,65,,2,3,1,4,
,65,65,1,4,,,4,1
,65,65,,4,1,1,2,2
,65,65,1,2,2,2,1,2
,65,65,2,1,2,,4,1
,65,65,,4,1,2,3,
,65,65,2,3,,1,,4
64,64,,2,,2,2,2,
64,64,,2,2,,3,1,
,65,65,1,,4,,2,3
,65,65,,2,3,,3,2
,65,65,,3,2,,3,2
,65,65,,3,2,,2,3
,65,65,,2,3,1,1,3
,65,65,1,1,3,,2,3
,65,65,,2,3,1,3,1
,65,65,1,3,1,,4,1
,65,65,,4,1,,2,3
,65,65,,2,3,,3,2
,65,65,,3,2,1,2,2
,65,65,1,2,2,1,2,2
,65,65,1,2,2,2,1,2
,65,65,2,1,2,1,3,1
,65,65,1,3,1,1,2,2
,65,65,1,2,2,,4,1
,65,65,,4,1,1,2,2
,65,65,1,2,2,1,1,3
,65,65,1,1,3,,2,3
,65,65,,2,3,2,1,2
,65,65,2,1,2,,2,3
,65,65,,2,3,,1,4
,65,65,,1,4,,3,2
,65,65,,3,2,,1,4
,65,65,,1,4,,1,4
,65,65,,1,4,,4,1
,65,65,,4,1,,2,3
,65,65,,2,3,,,5
,65,65,,,5,,3,2
,65,65,,3,2,1,2,2
,65,65,1,2,2,,2,3
,65,65,,2,3,,3,2
,65,65,,3,2,1,2,2
,65,65,1,2,2,,2,3
,65,65,,2,3,,2,3
,65,65,,2,3,1,2,2
,65,65,1,2,2,2,2,1
,65,65,2,2,1,,3,2
,65,65,,3,2,,2,3
,65,65,,2,3,1,1,3
,65,65,1,1,3,,4,1
,65,65,,4,1,2,1,2
,65,65,2,1,2,2,2,1
,65,65,2,2,1,,3,2
,65,65,,3,2,1,2,2
,65,65,1,2,2,,3,2
,65,65,,3,2,,,5
,65,65,,,5,,2,3
,65,65,,2,3,,3,2
,65,65,,3,2,1,1,3
,65,65,1,1,3,,2,3
,65,65,,2,3,,4,1
,65,65,,4,1,1,2,2
,65,65,1,2,2,1,,4
,65,65,1,,4,,1,4
,65,65,,1,4,1,2,2
,65,65,1,2,2,,2,3
,65,65,,2,3,,2,3
,65,65,,2,3,1,,4
,65,65,1,,4,,4,1
,65,65,,4,1,,1,4
,65,65,,1,4,,,5
,65,65,,,5,,3,2
,65,65,,3,2,,5,
,65,65,,5,,3,2,
,65,65,3,2,,,2,3
,65,65,,2,3,1,3,1
,65,65,1,3,1,,3,2
,65,65,,3,2,1,2,2
,65,65,1,2,2,,4,1
,65,65,,4,1,1,3,1
,65,65,1,3,1,,3,2
,65,65,,3,2,1,3,1
,65,65,1,3,1,1,2,2
,65,65,1,2,2,1,2,2
,65,65,1,2,2,2,2,1
,65,65,2,2,1,,,5
,65,65,,,5,,3,2
,65,65,,3,2,,4,1
,65,65,,4,1,,2,3
,65,65,,2,3,1,2,2
,65,65,1,2,2,,2,3
,65,65,,2,3,1,2,2
,65,65,1,2,2,1,2,2
,65,65,1,2,2,,3,2
,65,65,,3,2,,4,1
,65,65,,4,1,1,1,3
,65,65,1,1,3,1,3,1
,65,65,1,3,1,,3,2
,65,65,,3,2,1,1,3
,65,65,1,1,3,1,2,2
,65,65,1,2,2,1,1,3
,65,65,1,1,3,,1,4
,65,65,,1,4,,3,2
,65,65,,3,2,,1,4
,65,65,,1,4,2,1,2
,65,65,2,1,2,1,1,3
,65,65,1,1,3,,4,1
,65,65,,4,1,,2,3
,65,65,,2,3,,3,2
,65,65,,3,2,,2,3
,65,65,,2,3,1,1,3
,65,65,1,1,3,,2,3
,65,65,,2,3,1,1,3
,65,65,1,1,3,1,2,2
,65,65,1,2,2,,1,4
,65,65,,1,4,,2,3
,65,65,,2,3,1,2,2
,65,65,1,2,2,,1,4
,65,65,,1,4,,1,4
,65,65,,1,4,,2,3
,65,65,,2,3,,4,1
,65,65,,4,1,1,3,1
,65,65,1,3,1,,2,3
,65,65,,2,3,2,2,1
,65,65,2,2,1,,2,3
,65,65,,2,3,,1,4
,65,65,,1,4,,3,2
,65,65,,3,2,,1,4
,65,65,,1,4,,3,2
,65,65,,3,2,,4,1
,65,65,,4,1,1,3,1
,65,65,1,3,1,1,3,1
,65,65,1,3,1,,4,1
,65,65,,4,1,,3,2
,65,65,,3,2,,4,1
,65,65,,4,1,1,3,1
,65,65,1,3,1,,,5
,65,65,,,5,,2,3
,65,65,,2,3,,2,3
,65,65,,2,3,,3,2
,65,65,,3,2,1,3,1
,65,65,1,3,1,1,3,1
,65,65,1,3,1,1,1,3
,65,65,1,1,3,,4,1
,65,65,,4,1,1,3,1
,65,65,1,3,1,1,2,2
,65,65,1,2,2,2,2,1
,65,65,2,2,1,3,,2
38,38,,3,,,1,1,1
,62,,,2,2,,4,
,62,,,4,,1,2,1
48,,48,2,,3,3,1,1
48,,48,3,1,1,4,,1
48,,48,4,,1,2,1,2
48,,48,2,1,2,3,1,1
48,,48,3,1,1,2,1,2
48,,48,2,1,2,3,,2
48,,48,3,,2,3,,2
48,,48,3,,2,2,1,2
48,,48,2,1,2,4,,1
48,,48,4,,1,2,1,2
48,,48,2,1,2,3,,2
48,,48,2,1,2,3,1,1
48,,48,3,,2,3,,2
48,,48,3,1,1,2,,3
,,17,,2,2,,,4
,,17,,,4,1,2,1
,,17,1,2,1,,1,3
,,17,,1,3,,1,3
,,17,,1,3,2,,2
,,17,2,,2,,,4
,,17,,,4,,1,3
,,17,,1,3,1,,3
,,17,1,,3,,,4
,,17,,,4,2,1,1
59,,59,4,,1,3,1,1
,,79,,,4,1,,3
,,79,1,,3,,,4
,,79,,,4,,1,3
,,79,,1,3,,2,2
,,79,,2,2,,,4
,,79,,,4,,2,2
,,79,,2,2,,1,3
,,79,,1,3,,,4
,,79,,,4,,2,2
,,79,,2,2,,,4
,,79,,,4,,1,3
,,79,,1,3,1,,3
,,79,1,,3,,,4
,,79,,,4,,1,3
,,79,,1,3,1,1,2
,,79,1,1,2,,,4
,,79,,,4,1,,3
,,79,1,,3,,2,2
,,79,,2,2,1,1,2
,,79,1,1,2,,,4
,,79,,,4,1,1,2
,,79,1,1,2,,,4
,,79,,,4,,2,2
,,79,,2,2,1,,3
,,79,1,,3,1,,3
,,79,1,,3,1,,3
,,79,1,,3,,1,3
,,79,,1,3,2,,2
,,79,2,,2,2,,2
,,79,2,,2,,,4
,,79,,,4,,1,3
,,79,,1,3,1,,3
,,79,1,,3,,,4
,,79,,,4,1,,3
,,79,1,,3,,,4
,,79,,,4,,2,2
,,79,,2,2,,1,3
,,79,,1,3,,1,3
,,79,,1,3,,,4
,,79,,,4,,1,3
,,79,,1,3,1,2,1
,71,102,,,3,,3,
,71,102,,3,,1,,2
,71,102,1,,2,1,1,1
,,160,,,5,,1,4
,,160,,1,4,,,5
,,160,,,5,,1,4
,,160,,1,4,,,5
,,160,,,5,1,,4
,,160,1,,4,,,5
,,160,,,5,,1,4
,,160,,1,4,1,,4
,,160,1,,4,1,,4
,,160,1,,4,,1,4
,,160,,1,4,1,,4
,,160,1,,4,,2,3
,,101,1,1,2,,,4
,,101,,,4,1,,3
,,101,1,,3,,,4
,,101,,,4,1,,3
,,101,1,,3,,2,2
,,101,,2,2,,,4
,,101,,,4,1,,3
,,101,1,,3,,,4
,,101,,,4,,1,3
,,101,,1,3,,,4
,,101,,,4,1,1,2
,,160,,2,3,1,1,3
,,160,1,1,3,,,5
,,134,,,3,,1,2
,,160,,,5,2,,3
,,160,2,,3,1,2,2
,,160,1,2,2,,1,4
,,160,,1,4,1,,4
,,160,1,,4,,,5
,,160,,,5,,1,4
,,160,,1,4,1,,4
,,160,1,,4,,,5
,,160,,,5,1,,4
,,160,1,,4,,,5
,,160,,,5,,1,4
,,160,,1,4,1,,4
,,160,1,,4,,,5
,,160,,,5,1,,4
,,160,1,,4,,,5
,,160,,,5,,1,4
,,160,,1,4,1,,4
,,160,1,,4,,1,4
,,160,,1,4,,,5
,,160,,,5,,1,4
,,160,,1,4,1,1,3
,,79,1,2,1,,,4
,,79,,,4,,1,3
,,79,,1,3,,1,3
,,79,,1,3,1,,3
,,79,1,,3,1,1,2
,,79,1,1,2,1,,3
,,79,1,,3,,,4
,,79,,,4,,1,3
,,79,,1,3,,,4
,,79,,,4,1,,3
,,79,1,,3,1,,3
,,79,1,,3,,1,3
,,79,,1,3,,,4
,,79,,,4,,1,3
,,79,,1,3,,,4
,,79,,,4,1,,3
,,79,1,,3,,,4
,,79,,,4,1,,3
,,79,1,,3,1,1,2
96,,96,1,1,1,,,3
96,,96,,,3,1,,2
100,,,3,1,,4,,
100,,,4,,,3,,1
64,64,,1,2,1,2,1,1
64,64,,2,1,1,2,1,1
64,64,,2,1,1,2,1,1
64,64,,2,1,1,2,2,
68,68,,2,3,,2,3,
68,68,,2,3,,2,2,1
68,68,,2,2,1,1,3,1
68,68,,1,3,1,1,3,1
68,68,,1,3,1,,3,2
68,68,,,3,2,2,3,
68,68,,2,3,,2,2,1
68,68,,2,2,1,4,1,
